COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY
20086,"Uniforms, Cotton",JOHN VILLANUEVA,0.0,,,0.0,159.96,MA7400GA070000017,uniform,DO930009110403347,11/04/2009,MIL3235500,MILLER UNIFORMS & EMBLEMS INC,650 CANION ST,,AUSTIN,TX,78752-3510,US
34584501045,Child/Infant Ambu Spur Oxygen mask #530-215-000,,4.0,CASE,Case,115.2,460.8,MA9300GA080000033,medical supplies,DO930010111604286,11/16/2010,SOU4319250,SOUTHERN SAFETY SALES INC,1719 East 2ND ST,,AUSTIN,TX,78702-4413,US
0852030,"BAGS, CANVAS","12 ea. Medical Bag, C spline with FIRE stenciled on one side",12.0,EA,Each,29.98,359.76,,medical bag purchase,PO830012080206120,08/02/2012,MIL3235500,MILLER UNIFORMS & EMBLEMS INC,650 CANION ST,,AUSTIN,TX,78752-3510,US
72582,"Two-Way Radio Supplies, Parts, and Accessories",3085020F03,6.0,EA,Each,31.74,190.44,MA6400GA070000040,Motorola Parts $3625.96  See attached,DO640010092932464,09/30/2010,MOT3322000,MOTOROLA INC,6500 RIVER PLACE BLVD BLDG #7,MD-RP-1A,AUSTIN,TX,78730,US
75077,Sand and Gravel,"This is a 24-month contract for 1"" river rock to be delivered to locations within the Austin Water Utility and Picked Up at the Contractor's location.",0.0,,,0.0,227.62,MA2200GA080000037,"1"" Rock",DO220010040616224,04/06/2010,VC0000101878,COMMUNITY TRUCKING LLC,PO BOX 737,,CEDAR CREEK,TX,78612,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","TRANSFORMER, DISTRIBUTION, SINGLE PHASE, POLE MOUNT, DOE, 100KVA, 120/240  VOLT, 3 WIRE, 2 HV BUSHINGS WITH TANK MOUNTED ARRESTER, SPEC 1579 LATEST REVISION   0-19518 REPLACES 0-1880",2.0,EA,Each,3400.0,6800.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX67141,06/07/2017,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
72582,"Two-Way Radio Supplies, Parts, and Accessories",Tessco 38426 fuse holder,6.0,EA,Each,8.31,49.86,MA6400GA110000013,Tessco $3693.26  see attached,DO640011042515343,04/25/2011,TES8311882,TESSCO INC,11126 MCCORMICK RD,,HUNT VALLEY,MD,21031-1404,US
65050,"Safety Surfaces, Playground",Charge is for each location.  Deliver as following:  150 cy Mountain View Park  130 cy Tanglewood Park  40 cy Pickfair Rec Ctr  110 cy Perry Park  60 cy West Austin Park  260 cy Pease Park  30 cy Palm Park  60 cy Metz Rec Ctr.  40 cy Lott Park  70 cy Comal Park  180 cy Dick Nichols Park  45 cy Piney Bend Park  45 cy Ellen Higgens Park,12.0,EA,Each,75.0,900.0,MA8600GC110000010,Engineered Wood Fiber,DO860013080718930,08/07/2013,VS0000020072,Soil Express LTD,166 W Frontier Pkwy,,Prosper,TX,75078,US
28514,"Circuit Breakers, Load Centers, Boxes, and Panelbo","PVC Fittings, Carflex",0.0,,,0.0,39.49,MA2200GA090000045,"PVC Fittings, Carflex, Ullrich, Kowalczyk",DO220010082029228,09/07/2010,HIL7129155,HILL COUNTRY ELECTRIC SUPPLY,4801 FREIDRICH LN BLDG 2 STE 200,,AUSTIN,TX,78744,US
1108220,"BELTS, INDUSTRIAL - BRAND LISTED OR EQUAL, (A THRU",,2.0,EA,Each,17.91,35.82,,Chipper Belts for # 4406,PO810012102300484,10/23/2012,BOH7164190,BOHLS EQUIPMENT CO/BOHLS BEARING,1125 OLD BASTROP HWY (HWY 183),,AUSTIN,TX,78741,US
28500,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AN,#80412 -6-26-2 -EATON CONTACT KIT,3.0,EA,Each,1443.47,4330.41,,EATON SOFT STARTS AND POWER SUPPLIES,CT2200AW151202021,12/02/2015,SUM8300245,SUMMIT ELECTRIC SUPPLY CO INC,3206 INDUSTRIAL TERRACE,,AUSTIN,TX,78757-7612,US
8053453,"PARTS & ACCESSORIES, BICYCLE","Pearl Izumi Select #8601 Bicycle Gloves - Size X Large, 70 ordered @ $12.35 each",70.0,EA,Each,12.35,864.5,,Pearl Izumi bicycle gloves - various sizes,PO870011072106552,07/21/2011,CYC8315988,CYCLES ETC,505 UNIVERSITY DR,,COLLEGE STATION,TX,77840-1353,US
54523,"Impact Tools, Air Powered (Not Road Building)","ProPress 45 Elbow 3/4"" x 3/4""  Qty:2@$2.72",0.0,,,0.0,5.44,MA7400GC150000004,Copper Pipe Fittings,DO220015051113401,05/13/2015,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
2857460,"INSULATORS AND PARTS, POLE LINE","INSULATOR, PIN TYPE, RADIO NOISE FREE, FOR US ON 12.5 KV GROUNDED  ""Y"" SYSTEM, EE1-NEMA CLASS 55-4, ANSI 70 GRAY, GROOVE DIAMETER 2"".  ON QUALIFIED PRODUCTS LIST EL-048  THIS ITEM REPLACES EUD#28574155001 - DUPLICATE STOCK ITEM",168.0,EA,Each,2.82,473.76,MA1100GA080000082,Critical materials Supply Arrangement,DOM1100MAX52182,09/16/2015,STU8321064,STUART C IRBY COMPANY,6517 Burleson Road,5221 Industrial Way Dr,Austin,TX,78744,US
2857441,"DEAD END HARDWARE, ELECTRICAL","CLAMP, WEDGE TYPE, FOR SERVICE DROPS, COMPLETE WITH  STRAIGHT HEAVY GUAGE STAINLESS STEEL BAIL, FOR #4 (6/1)  ACSR.THIS ITEM WILL BE REPLACED BY ITEM 00000019430 WHEN STOCK IS DEPLETED.  On Qualified Products List EL651  REACTIVATE KRAMER 114D MIN/MAX 200/400 PER D.BALZER T.BREEDING 18SEP09  REACTIVATED PER STANDARDS D. PATRICK 21SEP09 DBS.",200.0,EA,Each,1.07,214.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX21603,03/28/2012,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
1501410,"CEMENT, QUICK SET",,36.0,PAIL,Pail,38.33,1379.88,,Pavemend SL 51.8lb Pail  MAX PO# 6471 PR # 4582,PO810016012801509,01/28/2016,V00000932245,"Aquafin, Inc.","505 Blue Ball Road, #160",,Elkton,MD,21921,US
20085,"Uniforms, Blended Fabric",Uniform Rental/Laundry Services Building Services/Maintenance Crews,0.0,,,0.0,14.08,MA7400NA130000062,Uniform Rental/Laundry Services Building Services/Maintenanc,DO150013112103815,11/21/2013,UNI8303823,"UNIFIRST HOLDINGS, INC",6000 Bolm Rd.,,AUSTIN,TX,78721-3631,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","TRANSFORMER, DISTRIBUTION, SINGLE PHASE, POLE MOUNT, DOE, 50KVA, 120/240  VOLT, 3 WIRE, 2 HV BUSHINGS WITH TANK MOUNTED ARRESTER, SPEC E-1579 11May 18.       19516 REPLACES 1830",2.0,EA,Each,1865.0,3730.0,MA1100GA170000053,critical materials supply arrangement (CMSA),DOM1100MAX79627,12/12/2018,TEX4799500,TEXAS ELECTRIC COOPERATIVES,1122 Colorado ST 24th Floor,,Austin,TX,78701,US
33518,Anhydrous Ammonia,Anhydrous Ammonia for ULLRICH WTP,0.0,,,0.0,20175.0,MA2200GA080000178,Anhydrous Ammonia for ULLRICH WTP,DO220012081319657,08/13/2012,AIR8317759,AIRGAS SPECIALTY PRODUCTS,"6340 SUGARLOAF PKWY, STE: 300",,DULUTH,GA,30097-,US
37023,"Grease, USDA Approved for Food Processing","AW Chestorton 630 SXCF-Grease, Synthetic, Corrosion resistant, extreme pressure, Food grade, 55 Kilogram (part # 082714)",7.0,EA,Each,2006.62,14046.34,MA2200GA120000071,GREASE,DO220013021308781,02/13/2013,WCH8308781,A W CHESTERTON CO,509 ASHLAND CREEK,,VICTORIA,TX,77901-,US
2857484,"SCREWS, LAG, GALVANIZED STEEL","AUTO17722, 8, 9796.",9.0,EA,Each,28.65,257.85,MA1100GA080000083,"KRAMER, GA080000083, KBS.",DO110010061422740,06/14/2010,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,PO BOX 40748,,AUSTIN,TX,78704-,US
34072,"Rescue Equipment, Supplies and Accessories Includi",Kochek adapter (PR 735) plus shipping,0.0,,,0.0,89.5,MA8300GC150000008,Kochek adapter PR 735,DO830016010705911,01/07/2016,TAC4539500,DOOLEY TACKABERRY INC,1515 West 13th Street,,DEER PARK,TX,77536-9700,US
5508127,"CABINET PARTS, TRAFFIC CONTROLLER",Part # Edgeconnect-pak.,1.0,EA,Each,2535.0,2535.0,,Equipment Purchase from Iteris INC.,CT240012031300708,04/03/2012,V00000902422,ITERIS INC,1700 S CARNEGIE AVE STE 100,,SANTA ANA,CA,92705-5551,US
6754045,"INSECTICIDES, DRY","Bee Removal SR#404798@15302 Delahunty Dr, mm",1.0,EA,Each,95.0,95.0,,"Bee Keeper,johnsonj",PO220010063007775,06/30/2010,VC0000101884,KINSER BEEKEEPING INC,11902 FITZHUGH RD,,AUSTIN,TX,78736,US
7452114,"ASPHALTIC CONCRETE, HOT MIX, IN ACCORDANCE WITH IT",,24.12,TON,Ton,54.500414,1314.55,MA6200GA120000082,APAC Texas/ Hot Mix/ various sections,DO620018051010398,05/10/2018,VC0000102792,OLDCASTLE MATERIALS TEXAS INC,1320 Arrow Point Dr,Suite 600,Cedar Park,TX,78613,US
32091,"Washers, Steel","WASHER, COIL SPRING, FOR 3/4"" BOLT, MECHANICALLY PLATED WITH ZINC AND  TIN, TRAVEL DISTANCE IS .20"" TO .22"", MAXIMUM DEFLECTION AT 750 POUNDS  IS .0143"". PACKING WILL; BE 100 PIECES PER BOX. ON QUALIFIED PRODUCTS  LIST EL-1476",300.0,EA,Each,0.79,237.0,MA1100GA080000078,Critical materials Supply Arrangement,DOM1100MAX12090,03/02/2011,TEX4799500,TEXAS ELECTRIC COOPERATIVES,Utility Supply & Service,100 COOPERATIVE WAY,GEORGETOWN,TX,78626-8200,US
67052125031,COUPLING DI TWO BOLT EXTENDED RANGE 8 IN.,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 2/2/2018,5.0,EA,Each,261.63,1308.15,MA7400GC130000008,MSC QIA material for Glen Bell warehouse,DO220018011905605,01/19/2018,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US
72582,"Two-Way Radio Supplies, Parts, and Accessories","ACCESSORY,ACCESSORY,CHARGER,IMPRES MUC W/DISPLAY - US/NA PLUG",1.0,EA,Each,455.0,455.0,MA7400S011253,"MOTOROLA 18,336.50 SEE ATTACHED",DO640016031709795,03/17/2016,MOT3322000,MOTOROLA SOLUTIONS INC,6500 RIVER PLACE BLVD BLDG #7,MD-RP-1A,AUSTIN,TX,78730,US
34564,"Head, Ear, Eye and Face Protection",Safety Eye wear for Jeffery Trevino - clear,0.0,,,0.0,117.0,MA1100NA160000067,Safety Eye wear,DOM1100MAX61741,10/13/2016,ALL8305442,ALLAN BAKER INC,4036 DUTCHMANS LN,,LOUISVILLE,KY,40207-4704,US
44546105001,TAPE MEASURING 1/2 IN 100 FT,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,6.0,EA,Each,12.83,76.98,MA7400GC150000004,Grainger weekly keepstock for Webberville warehouse,DO220017041709863,04/17/2017,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
28796,"Wire and Cable, Electronic: Audio, Coaxial, Hook-U",PANDUIT    F92ERLNLNSNM001     2-FIBER JUMPER OS2 OFNR 1MT        LC DUP-LC DUP 1.6MM JACKET         YELLOW                             Availability: MF STOCK     NON CANCELABLE/NON RETURNABLE     MF LEAD TIME 10 BUSINESS DAYS                  ASSEMBLY KIT ROHS                  Availability: DALLAS STOCK     ANIXTER DALLAS STOCK          ABS YELLOW ROHS                    Availability: MF STOCK     NON CANCELABLE/NON RETURNABLE     MF STOCK     ABS YELLOW ROHS                    Availability: CHICAGO STOCK     ANIXTER CHICAGO STOCK     Availability: CHICAGO STOCK     ANIXTER CHICAGO STOCK     PVC YELLOW ROHS                    Availability: CHICAGO STOCK     ANIXTER CHICAGO STOCK          ABS YELLOW ROHS                    Availability: DALLAS STOCK     ANIXTER DALLAS STOCK          ABS YELLOW ROHS                    Availability: CHICAGO STOCK     ANIXTER CHICAGO STOCK     ABS YELLOW ROHS                    Availability: MF STOCK     NON CANCELABLE/NON RETURNABLE     MF STOCK,4.0,EA,Each,57.07,228.28,MA6400NA100000129,ANIXTER $7019.34 SEE ATTACHED,DO640015010806259,01/08/2015,ANI0261000,ANIXTER INC,2301 PATRIOT BLVD,,GLENVIEW,IL,60025-8020,US
34592502009,SAFETY VEST STYLE YELLOW XLARGE CLASS 3,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,100.0,EA,Each,11.95,1195.0,,material needed at gbsc,PO220011041802659,04/19/2011,ACE7163805,HAVERDA ENTERPRISES INC,5005 E BEN WHITE BLVD,,AUSTIN,TX,78741-7301,US
4503686,"PLATES, PULL, ALUMINUM & STEEL",,10.0,EA,Each,23.0,230.0,,Door Hardware for ABIA  MAX PO# 3148,PO810013021202518,02/12/2013,RIC3952250,HULL SUPPLY CO INC,5117 E CESAR CHAVEZ,,AUSTIN,TX,78702,US
47548521031,Surgilube Lubricant  3g foil packs Triad 144/box  Surgical L,A031 Sterile Lubricating Jelly. 2.7gm    3g foil packs    PDI Item Number T00128,2.0,BOX,Box,8.69,17.38,MA9300GA120000098,medical supplies,DO930014110402658,11/04/2014,QUA8319350,QUADMED INC,11210-1 PHILIPS INDUSTRIAL BLVD,,JACKSONVILLE,FL,32256,US
44564100001,SCREWDRIVER 6 IN X 5/16 IN STANDARD,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE_________,15.0,EA,Each,3.95,59.25,,material needed at wbsc,PO220012072505974,07/31/2012,ACE7163805,HAVERDA ENTERPRISES INC,5005 E BEN WHITE BLVD,,AUSTIN,TX,78741-7301,US
4500242,"FOAM, POLYURETHANE, CHEMICAL BACKFILL","BACKFILL, POLYURETHANE FOAM, WATER BASE, 5 GALLON KIT, PER CITY OF AUSTIN  PURCHASING SPECIFICATION E-1705, DATED MARCH 29, 2007. QPL EL1194.  QUESTIONS CONTACT:  PETER G. SOOSAY, P.E., AUSTIN ENERGY, 2526 KRAMER LANE,  BLDG. E, SUITE 228, AUSTIN, TX 78758, (512) 505-7072; (512) 505-7104 FAX",36.0,KIT,Kit,121.0,4356.0,MA1100GA080000036,Generated by reorder 11/8/11 3:00 AM.,DOM1100MAX18349,11/08/2011,PRI3766500,PRIESTER-MELL & NICHOLSON INC,601 E 56TH ST,,AUSTIN,TX,78751-1404,US
2857441,"DEAD END HARDWARE, ELECTRICAL","CLAMP, WEDGE TYPE, FOR SERVICE DROPS, COMPLETE WITH  STRAIGHT HEAVY GUAGE STAINLESS STEEL BAIL, FOR #4 (6/1)  ACSR.THIS ITEM WILL BE REPLACED BY ITEM 00000019430 WHEN STOCK IS DEPLETED.  On Qualified Products List EL651  REACTIVATE KRAMER 114D MIN/MAX 200/400 PER D.BALZER T.BREEDING 18SEP09  REACTIVATED PER STANDARDS D. PATRICK 21SEP09 DBS.",50.0,EA,Each,1.13,56.5,MA1100GA080000083,Critical materials Supply Arrangement,DOM1100MAX50624,07/16/2015,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,504 E ST ELMO,,AUSTIN,TX,78745,US
47587751025,Oral Airway  Hudson RCI? 1167  Size 10    Latex Free,,96.0,EA,Each,0.34,32.64,MA9300GA080000033,medical supplies,DO930010010708255,02/19/2010,GEN2007500,MCKESSON MEDICAL-SURGICAL INC,P.O. BOX 740215,,Cincinnati,OH,45274-0215,US
8018387,"SIGNS, TRAFFIC, MESSAGE","48"" Refl Roll-up with Black Border",4.0,EA,Each,81.9,327.6,,Traffic Signs for CSS,CT2200AW150528071,05/28/2015,PAT7004575,PATHMARK TRAFFIC PRODUCTS,OF TEXAS INC,PO BOX 1066,SAN MARCOS,TX,78667-1066,US
70024,Collators and Sorters,TxSmartBuy contract for a DS-85 4 station Folder Inserter with power regulator    Commodity code for inserter - 98554003681 - $758.99  commodity code for power regulator - 98554012903 - $5.60    Total Monthly Cost $764.59  Lease for a term of 36 months.    This cost includes maintenance.,0.0,,,0.0,9113.74,MA6800GC150000012,MAIL FOLDER/INSERTER,DO530016113003560,11/30/2016,USP7160190,NEOPOST USA INC,30955 HUNTWOOD AVE,,HAYWARD,CA,94544-7040,US
45047100001,"FOLDING KNIFE 4 1/2 IN., CLIP BLADE, BLUE",RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,12.0,EA,Each,22.59,271.08,MA7400GC150000004,Materials needed at Glen Bell warehouse,DO220015091420400,09/14/2015,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
79054,Soil Mixtures (Special),,0.0,,,0.0,651.6,MA6300GA100000058,JAE CONST/SCREENED TOP SOIL/CONCRETE/KIRK,DO620012022408950,03/21/2012,JAE8317944,JAE CONSTRUCTION INC,"8700 Manchaca Rd, Ste-406",,AUSTIN,TX,78748,US
42550,Key Storage Cabinets and Files,"*DELIVER TO 2ND FLOOR*  814 LINEAR FILING INCHES / 9% INCREASE ONE 9'0""WIDE RANGE OF SHELVING WITH 8 OPENINGS AT 88"" HIGH. ONE 95""HIGH ROLL DOWN SECURITY DOOR. ONE FILE DIVIDER PER OPENING.",1.0,EA,Each,4406.98,4406.98,,Storage Cabinet,CT930011081501332,08/15/2011,SOU7116385,SOUTHWEST SOLUTIONS GROUP INC,"4355 EXCEL PKWY, STE 300",,ADDISON,TX,75001,US
28574,"Pole Line Hardware: Anchors, Arms, Bolts, Braces,","DISK, ANCHOR. DISK SHALL BE STEEL WITH A MINIMUM THICKNESS  OF .187"" AND CAPABILITIES TO ACCEPT A 1"" ANCHOR ROD.  DISK SHALL BE MASTIC ASPHALT COATED TO INHIBIT CORROSION.  On Qualified Products List EL750  CONTINUE STOCKING THIS ITEM FOR DCS PER STEVE BOOHER 12/12/99.  AE NOT  READY TO REPLACE IT FOR NEW DCS WITH 00000001430.",15.0,EA,Each,95.0,1425.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX66802,05/23/2017,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
28564,"Motor Controllers, Contactors, Push Button Station","RELAY NP ARMS, ARC FLASH REDUCTION MAINTENANCE SYSTEM: KIT INCLUDES ARMS/IDM, CT SENSOR, POWER MODULE, SUBMERSIBLE STACK LIGHT AND ALL NECESSARY WIRING TO BE INSTALLED AT THE FACTORY, NEW  ORDER WITH NETWORK PROTECTOR  ITEM 22840 IS THE NEW VERSION OF ITEM 22841 (REBUILT). TWO PART NUMBERS CREATED DUE TO NEW AND REBUILT ON DIFFERENT CONTRACTS. DP 11/28/12",3.0,EA,Each,3489.0,10467.0,MA1100GA110000024,Generated by reorder 9/23/13 10:29 AM.,DOM1100MAX33971,10/01/2013,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
7452114,"ASPHALTIC CONCRETE, HOT MIX, IN ACCORDANCE WITH IT",,11.89,TON,Ton,56.0,665.84,MA6200GA120000082,APAC Texas/ Hot Mix/ various sections,DO620016030809265,03/08/2016,VC0000102792,APAC-TEXAS INC,,,,,,
48500,"JANITORIAL SUPPLIES, GENERAL LINE",,1.0,LOT,Lot,680.8,680.8,MA7400GA120000103,"Nov. 2012 - Purchase of Cleaner, Receptacles, Toilet Tissue",DO750012112703930,11/27/2012,GUL2165000,GULF COAST PAPER CO INC,519 Tradesmen Park,,Hutto,TX,78634,US
06575,Refuse/Garbage Collection Bodies and Parts,Parts for Heil body trucks,0.0,,,0.0,844767.77,MA7800NS170000034,Parts & Repairs for Heil Garbage Trucks,DO780017100200215,10/02/2017,HEI8303162,TEXAN WASTE EQUIPMENT INC,503 Pop Gunn,,San Antonio,TX,78219,US
28080,"Underground Cables and Wires, Solid and Stranded,","CABLE, POWER, 15 KV COPPER 1000MCM JACKETED, REDUCED CONCENTRIC NEUTRAL EPR, PER SPECIFICATION E-992.   SAME AS CSN # 0000001422 EXCEPT WHEN ORDER IS PLACED  WIRE SHALL BE SMOOTH CUT AND ENDS CAPPED.  ON QPL EL1532",1200.0,FT,Foot,22.3,26760.0,MA1100GA170000044,critical materials supply arrangement (CMSA),DOM1100MAX77444,09/05/2018,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","R17164, 2, 1918",1.0,EA,Each,271.25,271.25,MAM1100NA070000001A,"St. Elmo, NA070000001A, Greenville Transformers",DO110010063024339,06/30/2010,GRE7074150,GREENVILLE TRANSFORMER COMPANY INC,PO BOX 845,,GREENVILLE,TX,75403-,US
44591104004,WRENCH PIPE 24 IN,RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 4/18/2018,1.0,EA,Each,55.61,55.61,MA7400GC150000004,Grainger material for Webberville warehouse,DO220018040308877,04/03/2018,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
5407031,"POLES, CREOSOTE TREATED","AUTO17333, 3, 9801",10.0,EA,Each,673.08,6730.8,MAM7400C060240,"St. Elmo, C060240, Lufkin Creosoting",DO110009101301169,10/13/2009,LUF2965250,LUFKIN CREOSOTING CO INC,PO BOX 1207,,LUFKIN,TX,75902-1207,US
20072,"CLOTHING: TROUSERS, SUPV AND UNIFORM",PR# 502  Emblem Application to 7 winter coats    Attn: Kynama Wald,0.0,,,0.0,150.0,MA8700GA120000038,Emblem Application,DO830013120504420,12/05/2013,MIL3235500,MILLER UNIFORMS & EMBLEMS INC,650 CANION ST,,AUSTIN,TX,78752-3510,US
80086351005,"BOOT STEEL TOE, STEEL MIDSOLE SIZE 9",RC LN_____ QTY DEL_____ P/F_____ B/O___DEL DATE_____    DELIVERY DATE SHALL BE NO LATER THAN 1/5/2018,2.0,PR,Pair,22.04,44.08,MA7400GC150000004,Grainger material for Glen Bell warehouse,DO220017122104633,12/21/2017,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","500 KVA, 12,740 delta, 208Y/120 volt, feed thru switch, deadfront, per AE spec E-649 dated 04/5/06.   R17193, 3, 1001",2.0,EA,Each,18268.21,36536.42,MA1100GA090000114,"Decker Yard, GA090000114, PM&N",DO110010071325517,07/13/2010,PRI3766500,PRIESTER-MELL & NICHOLSON INC,601 E 56TH ST,,AUSTIN,TX,78751-1404,US
7451413,"ASPHALTIC CONCRETE PAVEMENT, HOT MIX-COLD LAID, IN","Zone 2 delivery,3907 S. Industrial Dr, SZ SM, 3 Loads Cold Mix 08/16/12",48.96,TON,Ton,70.0,3427.2,MA2200GA090000044,"ColdMix,johnsonj",DO220012081619923,08/16/2012,IND7079705,INDUSTRIAL ASPHALT LLC,9020 North Capital of Texas Highway,Bldg. II Suite 250,AUSTIN,TX,78759,US
7452114,"ASPHALTIC CONCRETE, HOT MIX, IN ACCORDANCE WITH IT",,712.43,TON,Ton,56.0,39896.08,MA6200GA120000082,APAC Texas/ Hot Mix/ various sections,DO620016012707002,01/27/2016,VC0000102792,APAC-TEXAS INC,,,,,,
28578,"Structural Supports and Racks, Mechanical Type: An","FITTING, GUY, SIDEWALK, POLE PLATE FOR 2"" PIPE, GALVANIZED  MALLEABLE IRON, WITH SET SCREWS FOR CLAMPING PIPE, WITH  ONE 11/16"" HOLE IN CENTER OF 2"" PIPE RECEPTACLE FOR ATTACHING TO FIBERGLASS  POLE, AND ONE 11/16"" AND TWO 9/16"" HOLES FOR LAG BOLTS ATTACHING FITTING  TO WOOD POLE. ON QPL EL-284.",50.0,EA,Each,16.0,800.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX25472,09/13/2012,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
48540100003,WIPES SANITIZING HAND SIZE 5X7 WHITE,RC LN_____QTY DEL_____P/F____B/O____DEL DATE________,4.0,PK,Pack,4.5,18.0,,material needed at awwbsc,PO220014022002308,02/21/2014,WWG2097000,W W GRAINGER INC,7950 Research Blvd. Ste 101,,AUSTIN,TX,78758-8425,US
48572102003,MOP HEAD FLAT WAY 24 OZ,RC LN_____ QTY DEL_____ P/F______ B/O_____ DEL DATE___________,2.0,DZ,Dozen,57.0,114.0,MA7400GC080000014,material needed at wbsc,DO220010112304967,11/23/2010,GUL2165000,GULF COAST PAPER CO INC,PO BOX 6080,,AUSTIN,TX,78762-6080,US
17513,"Chemicals, Laboratory (ACS, CP, Practical, Reagent",Laboratory Chemicals for LSD,0.0,,,0.0,6581.35,MA2200GA120000037,Laboratory Chemicals for LSD,DO220014091020460,09/10/2014,VWR5019500,VWR INTERNATIONAL LLC,ATTN: BIDS DEPT,1050 SATELLITE BLVD NW,SUWANEE,GA,30024-2883,US
88011,Audio Visual Equipment and Supplies (Not Otherwise,"Audio/Video equipment. Remove old audio/video equipment and install new system.  Includes:  Equipment:  Projector, Lens, Mount & Spare Lamp  1 ea. Christie LX700 / VI PN#103-020103-01 (4LCD, XGA, 7000lm, single lamp, 25.1 lbs-no lens  1 ea. Christie VI PN#38-809068-51/ Lens 4.3-6.0:1 Zoom  1 ea. Christie VI PN#003-120458-01 /Lamp 330W LX700  1 ea. Chief-RPA204/Custom RPA Projector Mount (Black)  1 ea. Extron VI PN#26-531-01/BNC Femal to VGA Male  Cables, connectors and misc hardware   Integration/Svc.     This equipment shall be provided in accordance with Visual Innovations Company, Inc., quote submitted by Terry Shannon on 07/08/11. TXMAS contract #4-581010 and expiration date 07/07/2012  Deliver To:  Herlinda Zamora  City of Austin Parks and Recreation  Mexican American Culture Center  600 River Street  Austin, TX 78701-4218",0.0,,,0.0,9308.31,,Purchase and install audio/video equ. at the MACC,CT860011081101250A,09/30/2011,VIS7082920,VISUAL INNOVATIONS CO INC,8500 SHOAL CREEK BLVD BLDG 1,,AUSTIN,TX,78757-7530,US
1102255,"PARTS AND ACCESSORIES, CONVEYOR BELT",1 each Conveyor Belt # B4938N9645HC/12/140PG $1723.82  2 each Drive Pulley # P49387IO/140 @1012.82 = $2025.64,0.0,,,0.0,3749.46,MA8100GA130000023,Conveyor Belts for BHS  MAX PO# 6487 PR  #4594,DO810016020207247,02/02/2016,TRA7153470,TRANSNORM SYSTEMS INC,1906 S GREAT SOUTHWEST PKWY,,GRAND PRAIRIE,TX,75051-3580,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","TRANSFORMER, DISTRIBUTION, SINGLE PHASE, PAD MOUNT, 50 KVA, 120/240 VOLT,  WITH BAYONET FUSING, PER SPEC E-1581 LATEST REVISION",4.0,EA,Each,2719.0,10876.0,MA1100GA170000051,critical materials supply arrangement (CMSA),DOM1100MAX70307,10/18/2017,PRI3766500,PRIESTER-MELL & NICHOLSON INC,PO Box 15204,,AUSTIN,TX,78761,US
